image,name,website,jobTitle,education,type,additionalInfo,DBLP,GoogleScholar,DOR,DOJ
https://iiitd.ac.in/sites/default/files/images/faculty/vabrol.jpg,Vinayak Abrol,https://iiitd.ac.in/vabrol,Assistant Professor (CSE),"PhD (2018), IIT Mandi, India",Faculty,,136/4698,https://scholar.google.com/citations?user=13e0zscAAAAJ&hl=en&oi=ao,,01-Jan-21
https://iiitd.ac.in/sites/default/files/images/faculty/raghavam.jpg,V. Raghava Mutharaju,https://iiitd.ac.in/raghavam,Assistant Professor (CSE),"PhD (2016), Wright State University, USA",Faculty,,63/7446,https://scholar.google.com/citations?hl=en&user=69pEM_YAAAAJ,,09-Oct-18
https://iiitd.ac.in/sites/default/files/images/faculty/koteswar.jpg,Koteswar Rao Jerripothula,https://iiitd.ac.in/koteswar,Assistant Professor (CSE),"PhD (2017), Nanyang Technological University (NTU), Singapore",Faculty,,158/9790,https://scholar.google.com/citations?user=QgTEe-gAAAAJ&hl=en&oi=ao,05-Feb-20,02-May-17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
